   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 7.88758, 24.6602, -30.6759, 40.1416, 1.6909, 40.1772, 9.50133, 70.853, -2.00918, -1.00459
px, py, pz, p1, m1, e, num, den, ln, y: -26.5896, 28.3043, -82.3123, 91.0135, 1.03067, 91.0194, 8.70703, 173.332, -2.99108, -1.49554
px, py, pz, p1, m1, e, num, den, ln, y: 13.3778, -26.7672, 100.263, 104.633, 2.98219, 104.676, 204.939, 4.41273, 3.83822, 1.91911
px, py, pz, p1, m1, e, num, den, ln, y: 12.1352, -0.505482, -9.42746, 15.3752, 1.05537, 15.4114, 5.98391, 24.8388, -1.42333, -0.711667
px, py, pz, p1, m1, e, num, den, ln, y: -7.37834, 6.06485, -27.0545, 28.6909, 4.04322, 28.9744, 1.9199, 56.0289, -3.37359, -1.6868
px, py, pz, p1, m1, e, num, den, ln, y: 17.2259, -26.3739, -1.3009, 31.5279, 1.53531, 31.5652, 30.2644, 32.8661, -0.0824728, -0.0412364
px, py, pz, p1, m1, e, num, den, ln, y: -9.54198, 3.42844, -26.72, 28.579, 4.04138, 28.8634, 2.14338, 55.5833, -3.2555, -1.62775
px, py, pz, p1, m1, e, num, den, ln, y: -1.4764, 10.3825, -3.0018, 10.9081, 7.88605, 13.4602, 10.4584, 16.462, -0.453651, -0.226825
px, py, pz, p1, m1, e, num, den, ln, y: -7.4208, 5.13063, -15.8481, 18.2361, 1.19546, 18.2752, 2.4271, 34.1233, -2.64329, -1.32164
px, py, pz, p1, m1, e, num, den, ln, y: -14.3877, 21.3014, 31.0453, 40.306, 3.78479, 40.4833, 71.5286, 9.43792, 2.02536, 1.01268
px, py, pz, p1, m1, e, num, den, ln, y: 11.4087, 1.32949, -3.939, 12.1426, 0.543579, 12.1547, 8.21572, 16.0937, -0.672379, -0.33619
px, py, pz, p1, m1, e, num, den, ln, y: -3.38251, 8.55521, 4.05546, 10.0538, 2.86489, 10.4541, 14.5095, 6.3986, 0.818725, 0.409362
px, py, pz, p1, m1, e, num, den, ln, y: 28.416, 3.81129, -38.1504, 47.7226, 3.10385, 47.8234, 9.67305, 85.9738, -2.1847, -1.09235
px, py, pz, p1, m1, e, num, den, ln, y: 3.25413, -9.09359, 21.5299, 23.597, 1.01008, 23.6186, 45.1486, 2.08873, 3.0734, 1.5367
px, py, pz, p1, m1, e, num, den, ln, y: -4.60219, 3.53574, 17.2242, 18.1757, 8.63566, 20.1229, 37.3471, 2.89865, 2.55601, 1.278
px, py, pz, p1, m1, e, num, den, ln, y: -8.48127, -6.59993, 8.24643, 13.546, 1.0392, 13.5858, 21.8322, 5.33939, 1.40828, 0.704138
px, py, pz, p1, m1, e, num, den, ln, y: 4.22127, -23.1959, 2.82439, 23.7454, 1.15355, 23.7734, 26.5978, 20.949, 0.238736, 0.119368
px, py, pz, p1, m1, e, num, den, ln, y: 3.44497, -10.3204, -5.93815, 12.3952, 5.66069, 13.6266, 7.68841, 19.5647, -0.934014, -0.467007
px, py, pz, p1, m1, e, num, den, ln, y: 40.4605, 27.0425, -196.517, 202.453, 3.10263, 202.477, 5.95991, 398.994, -4.20389, -2.10194
px, py, pz, p1, m1, e, num, den, ln, y: 10.1432, 4.56792, -1.37048, 11.2084, 8.91792, 14.3233, 12.9529, 15.6938, -0.191951, -0.0959754
px, py, pz, p1, m1, e, num, den, ln, y: -1.44828, 8.09531, -3.83364, 9.0735, 0.276818, 9.07772, 5.24408, 12.9114, -0.901007, -0.450504
px, py, pz, p1, m1, e, num, den, ln, y: 2.62838, 34.2913, -36.1587, 49.9024, 2.03631, 49.944, 13.7853, 86.1027, -1.83194, -0.91597
px, py, pz, p1, m1, e, num, den, ln, y: 39.6057, 16.8907, 3.461, 43.1959, 2.84505, 43.2895, 46.7505, 39.8285, 0.160242, 0.0801212
px, py, pz, p1, m1, e, num, den, ln, y: 0.490959, 14.8981, -9.50283, 17.6776, 2.4672, 17.8489, 8.34611, 27.3518, -1.18699, -0.593493
px, py, pz, p1, m1, e, num, den, ln, y: 5.90683, 9.91333, 7.00388, 13.4989, 1.7136, 13.6072, 20.6111, 6.6033, 1.13826, 0.569129
px, py, pz, p1, m1, e, num, den, ln, y: -49.1706, 20.9812, -1.11577, 53.4715, 2.95319, 53.553, 52.4372, 54.6688, -0.041676, -0.020838
px, py, pz, p1, m1, e, num, den, ln, y: 3.67392, 35.3673, -60.5159, 70.1892, 0.555118, 70.1914, 9.67545, 130.707, -2.60337, -1.30168
px, py, pz, p1, m1, e, num, den, ln, y: 34.3546, -9.5779, -39.5371, 53.2462, 0.863701, 53.2532, 13.7161, 92.7903, -1.91177, -0.955885
px, py, pz, p1, m1, e, num, den, ln, y: -7.80319, -1.47443, 7.57287, 10.9732, 1.93102, 11.1419, 18.7147, 3.56898, 1.65703, 0.828515
px, py, pz, p1, m1, e, num, den, ln, y: -6.85138, 7.58356, 0.746071, 10.2474, 1.04651, 10.3007, 11.0467, 9.55459, 0.145113, 0.0725565
px, py, pz, p1, m1, e, num, den, ln, y: 10.6161, 4.7704, 1.64049, 11.7537, 6.30014, 13.3357, 14.9762, 11.6952, 0.247282, 0.123641
px, py, pz, p1, m1, e, num, den, ln, y: -4.67468, 6.78996, -1.86771, 8.45249, 5.33586, 9.9958, 8.12808, 11.8635, -0.378142, -0.189071
px, py, pz, p1, m1, e, num, den, ln, y: -3.11021, 57.2737, -15.9937, 59.5462, 3.98974, 59.6797, 43.686, 75.6734, -0.5494, -0.2747
px, py, pz, p1, m1, e, num, den, ln, y: 13.0517, -10.0244, 32.5723, 36.4937, 1.63651, 36.5303, 69.1026, 3.95808, 2.85983, 1.42992
px, py, pz, p1, m1, e, num, den, ln, y: 11.806, 1.38374, 10.1235, 15.6135, 1.19618, 15.6592, 25.7828, 5.53574, 1.53848, 0.76924
px, py, pz, p1, m1, e, num, den, ln, y: 9.68108, 23.6292, 9.35954, 27.1968, 1.18746, 27.2227, 36.5822, 17.8631, 0.716824, 0.358412
px, py, pz, p1, m1, e, num, den, ln, y: 9.08072, 0.295886, 8.1718, 12.2199, 2.2146, 12.4189, 20.5907, 4.24713, 1.5786, 0.789299
