   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C+...
Info in <TUnixSystem::ACLiC>: creating shared library /home/bmichlin/JpsiEstimation/CMSSW_7_4_12_patch4/src/MuJetAnalysis/AnalysisRun2/scripts/JpsiAnalysis/SPS/./jpsiPlots_C.so
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: -10.5318, 2.71532, 1.72814, 11.0127, 3.08427, 11.4364, 13.1646, 9.70829, 0.304549, 0.152274
px, py, pz, p1, m1, e, num, den, ln, y: -5.77956, -9.53438, 14.5118, 18.3003, 3.13167, 18.5663, 33.0782, 4.05449, 2.09905, 1.04952
px, py, pz, p1, m1, e, num, den, ln, y: -17.1583, -5.96749, 25.1876, 31.0553, 3.10626, 31.2103, 56.3979, 6.02267, 2.2369, 1.11845
px, py, pz, p1, m1, e, num, den, ln, y: -5.20856, -9.23373, -23.1326, 25.4461, 3.10232, 25.6346, 2.502, 48.7671, -2.96997, -1.48498
px, py, pz, p1, m1, e, num, den, ln, y: 8.35395, -4.47381, -1.36012, 9.57357, 3.08405, 10.0581, 8.69795, 11.4182, -0.27212, -0.13606
px, py, pz, p1, m1, e, num, den, ln, y: 6.98902, -5.78794, 5.48164, 10.6016, 3.10808, 11.0479, 16.5295, 5.56622, 1.08843, 0.544216
px, py, pz, p1, m1, e, num, den, ln, y: -4.38533, 6.24593, -18.4227, 19.9409, 3.02462, 20.169, 1.74626, 38.5917, -3.09556, -1.54778
px, py, pz, p1, m1, e, num, den, ln, y: 12.5504, 8.48301, -3.41641, 15.5289, 3.12367, 15.84, 12.4235, 19.2564, -0.438249, -0.219124
px, py, pz, p1, m1, e, num, den, ln, y: -18.1684, -1.36584, -2.68286, 18.4162, 3.0751, 18.6711, 15.9883, 21.354, -0.289383, -0.144691
px, py, pz, p1, m1, e, num, den, ln, y: 12.8771, 5.46281, 59.3486, 60.9747, 3.34055, 61.0661, 120.415, 1.71757, 4.25003, 2.12501
px, py, pz, p1, m1, e, num, den, ln, y: -1.4788, 7.66714, -9.04817, 11.9516, 3.13412, 12.3557, 3.30755, 21.4039, -1.86736, -0.933682
px, py, pz, p1, m1, e, num, den, ln, y: -15.7967, 12.941, -54.6882, 58.3764, 3.10375, 58.4589, 3.77066, 113.147, -3.40144, -1.70072
px, py, pz, p1, m1, e, num, den, ln, y: -34.307, 41.0935, -87.5181, 102.592, 3.20161, 102.642, 15.1236, 190.16, -2.53161, -1.2658
px, py, pz, p1, m1, e, num, den, ln, y: -8.16976, 5.19492, 8.76437, 13.0593, 3.12166, 13.4273, 22.1916, 4.66288, 1.56008, 0.780041
px, py, pz, p1, m1, e, num, den, ln, y: -1.97599, -0.966182, -3.7976, 4.3886, 8.92317, 9.94399, 6.14638, 13.7416, -0.804563, -0.402282
px, py, pz, p1, m1, e, num, den, ln, y: -6.947, 4.93767, -2.10943, 8.78015, 3.08827, 9.30744, 7.19801, 11.4169, -0.461288, -0.230644
px, py, pz, p1, m1, e, num, den, ln, y: -8.23275, -5.60799, 0.569421, 9.97757, 3.11303, 10.4519, 11.0214, 9.88251, 0.109068, 0.054534
px, py, pz, p1, m1, e, num, den, ln, y: -15.0509, -6.81657, -47.5337, 50.3235, 3.17136, 50.4233, 2.88958, 97.957, -3.52342, -1.76171
