   ------------------------------------------------------------
  | Welcome to ROOT 6.02/05                http://root.cern.ch |
  |                               (c) 1995-2014, The ROOT Team |
  | Built for linuxx8664gcc                                    |
  | From tag , 9 February 2015                                 |
  | Try '.help', '.demo', '.license', '.credits', '.quit'/'.q' |
   ------------------------------------------------------------


Processing jpsiPlots.C...
Begin plotting Jpsi
px, py, pz, p1, m1, e, num, den, ln, y: 7.85734, 5.14752, 3.23952, 9.93626, 3.08071, 10.4029, 13.6424, 7.16337, 0.644202, 0.322101
px, py, pz, p1, m1, e, num, den, ln, y: -4.92975, -9.78732, 14.0976, 17.856, 3.11916, 18.1264, 32.224, 4.02878, 2.07925, 1.03962
px, py, pz, p1, m1, e, num, den, ln, y: 6.95349, -3.39951, 6.03373, 9.81395, 3.08658, 10.2879, 16.3216, 4.25415, 1.34459, 0.672297
px, py, pz, p1, m1, e, num, den, ln, y: 13.466, 1.21056, -3.35672, 13.9308, 3.08057, 14.2673, 10.9106, 17.624, -0.479529, -0.239764
px, py, pz, p1, m1, e, num, den, ln, y: 14.6979, -6.21875, -10.9532, 19.3565, 3.06954, 19.5983, 8.64514, 30.5515, -1.26242, -0.631208
px, py, pz, p1, m1, e, num, den, ln, y: 8.48407, -10.5202, 3.6648, 14.003, 3.07183, 14.336, 18.0008, 10.6712, 0.522869, 0.261434
px, py, pz, p1, m1, e, num, den, ln, y: 5.57701, -7.03376, 6.42329, 11.0379, 3.12602, 11.472, 17.8953, 5.04874, 1.2654, 0.6327
px, py, pz, p1, m1, e, num, den, ln, y: 9.43469, -1.93427, 3.4462, 10.2289, 3.07948, 10.6824, 14.1286, 7.23623, 0.669102, 0.334551
px, py, pz, p1, m1, e, num, den, ln, y: 5.83251, -7.90385, 36.1761, 37.486, 3.12961, 37.6164, 73.7925, 1.44031, 3.9364, 1.9682
px, py, pz, p1, m1, e, num, den, ln, y: 14.967, 4.78571, 44.2276, 46.9361, 3.10443, 47.0387, 91.2663, 2.81101, 3.48024, 1.74012
px, py, pz, p1, m1, e, num, den, ln, y: -11.8886, 10.3051, 50.491, 52.8854, 3.08262, 52.9752, 103.466, 2.48425, 3.72928, 1.86464
px, py, pz, p1, m1, e, num, den, ln, y: 8.72944, 6.7222, 4.73234, 11.9911, 3.10437, 12.3864, 17.1188, 7.65408, 0.804936, 0.402468
px, py, pz, p1, m1, e, num, den, ln, y: 15.6965, -6.48971, -27.2209, 32.0854, 3.13287, 32.238, 5.01712, 59.4589, -2.47243, -1.23621
px, py, pz, p1, m1, e, num, den, ln, y: 2.72108, 17.8023, -71.0452, 73.2922, 3.06601, 73.3563, 2.3111, 144.402, -4.13487, -2.06744
px, py, pz, p1, m1, e, num, den, ln, y: 8.81014, -5.24048, -4.52083, 11.2035, 3.10822, 11.6267, 7.10587, 16.1475, -0.820846, -0.410423
px, py, pz, p1, m1, e, num, den, ln, y: -9.21015, -16.6196, -15.5488, 24.552, 3.1373, 24.7517, 9.20289, 40.3004, -1.47685, -0.738423
px, py, pz, p1, m1, e, num, den, ln, y: -1.01123, 16.4043, -12.228, 20.4853, 3.04717, 20.7107, 8.4827, 32.9388, -1.35662, -0.67831
px, py, pz, p1, m1, e, num, den, ln, y: 9.08359, 0.243978, -13.2179, 16.0401, 3.11481, 16.3397, 3.12181, 29.5576, -2.24793, -1.12396
px, py, pz, p1, m1, e, num, den, ln, y: 9.92042, -2.91071, -9.13087, 13.7935, 3.08653, 14.1346, 5.00371, 23.2655, -1.53679, -0.768395
px, py, pz, p1, m1, e, num, den, ln, y: -9.25112, 6.01312, 13.5879, 17.5035, 3.06782, 17.7703, 31.3582, 4.1824, 2.01459, 1.00729
px, py, pz, p1, m1, e, num, den, ln, y: 7.42073, -5.45931, -10.4643, 13.9417, 3.11834, 14.2862, 3.82196, 24.7505, -1.86808, -0.934041
px, py, pz, p1, m1, e, num, den, ln, y: -2.0409, -9.60674, 3.97188, 10.5939, 3.11864, 11.0434, 15.0153, 7.0715, 0.752994, 0.376497
px, py, pz, p1, m1, e, num, den, ln, y: 0.11662, -16.5507, 19.3729, 25.4804, 3.01296, 25.6579, 45.0308, 6.28499, 1.96918, 0.984592
px, py, pz, p1, m1, e, num, den, ln, y: 4.22058, -9.51928, 0.300842, 10.4173, 3.08497, 10.8645, 11.1653, 10.5637, 0.0553948, 0.0276974
px, py, pz, p1, m1, e, num, den, ln, y: 10.2933, 2.9908, 38.8592, 40.3105, 3.10313, 40.4298, 79.289, 1.57054, 3.92168, 1.96084
px, py, pz, p1, m1, e, num, den, ln, y: 24.4262, -22.778, -79.4466, 86.1814, 3.10239, 86.2373, 6.79066, 165.684, -3.19453, -1.59727
px, py, pz, p1, m1, e, num, den, ln, y: 1.53368, 8.83311, 14.845, 17.3421, 3.12372, 17.6212, 32.4662, 2.77623, 2.45911, 1.22955
px, py, pz, p1, m1, e, num, den, ln, y: -8.87793, 13.0498, -19.5158, 25.0994, 3.12008, 25.2926, 5.7768, 44.8083, -2.04854, -1.02427
px, py, pz, p1, m1, e, num, den, ln, y: 9.88976, -8.87384, -11.517, 17.5839, 3.03666, 17.8442, 6.32719, 29.3612, -1.53482, -0.767409
px, py, pz, p1, m1, e, num, den, ln, y: -4.96992, -5.48701, -3.95106, 8.39156, 3.132, 8.95699, 5.00593, 12.9081, -0.947228, -0.473614
px, py, pz, p1, m1, e, num, den, ln, y: -1.23577, 9.70859, -28.8928, 30.5053, 3.09203, 30.6616, 1.76888, 59.5544, -3.51654, -1.75827
px, py, pz, p1, m1, e, num, den, ln, y: -20.66, -10.8709, 6.20764, 24.1567, 3.09859, 24.3546, 30.5622, 18.147, 0.521262, 0.260631
px, py, pz, p1, m1, e, num, den, ln, y: -1.67904, -8.86883, 7.2648, 11.5867, 3.12809, 12.0016, 19.2664, 4.73676, 1.40301, 0.701503
px, py, pz, p1, m1, e, num, den, ln, y: -10.6953, -5.40584, 2.39973, 12.2217, 3.08708, 12.6056, 15.0053, 10.2059, 0.385443, 0.192722
px, py, pz, p1, m1, e, num, den, ln, y: -1.4709, 7.55054, -8.29421, 11.3123, 3.09585, 11.7283, 3.43406, 20.0225, -1.76311, -0.881556
px, py, pz, p1, m1, e, num, den, ln, y: -1.13806, 13.0648, -47.3433, 49.1261, 3.08979, 49.2232, 1.87985, 96.5665, -3.93904, -1.96952
px, py, pz, p1, m1, e, num, den, ln, y: -4.22864, 7.32012, 10.6184, 13.5726, 3.13498, 13.93, 24.5484, 3.31156, 2.00323, 1.00161
px, py, pz, p1, m1, e, num, den, ln, y: 1.76535, 10.6167, -17.0174, 20.1351, 3.04381, 20.3639, 3.34648, 37.3812, -2.41326, -1.20663
px, py, pz, p1, m1, e, num, den, ln, y: -13.4164, -0.902011, 22.0378, 25.8162, 3.08011, 25.9993, 48.037, 3.96154, 2.49534, 1.24767
px, py, pz, p1, m1, e, num, den, ln, y: -11.2398, 6.82101, 13.7095, 18.995, 3.13097, 19.2513, 32.9607, 5.54179, 1.783, 0.8915
px, py, pz, p1, m1, e, num, den, ln, y: 11.6723, -4.79066, 12.3402, 17.6486, 3.14585, 17.9268, 30.267, 5.5866, 1.68969, 0.844843
px, py, pz, p1, m1, e, num, den, ln, y: 8.69646, 9.57243, -26.1097, 29.1372, 3.08799, 29.3003, 3.19068, 55.41, -2.85453, -1.42726
px, py, pz, p1, m1, e, num, den, ln, y: -8.47335, 6.13426, -15.042, 18.3218, 3.08549, 18.5798, 3.53779, 33.6219, -2.25168, -1.12584
px, py, pz, p1, m1, e, num, den, ln, y: 7.54938, -4.22847, -8.28873, 11.9823, 3.07198, 12.3698, 4.08112, 20.6586, -1.62176, -0.81088
px, py, pz, p1, m1, e, num, den, ln, y: 0.233101, -18.8177, -30.5443, 35.8764, 3.1276, 36.0125, 5.46816, 66.5568, -2.49911, -1.24956
px, py, pz, p1, m1, e, num, den, ln, y: -12.9179, -4.34725, -18.9572, 23.3483, 3.11043, 23.5546, 4.59742, 42.5118, -2.22429, -1.11214
px, py, pz, p1, m1, e, num, den, ln, y: -10.8035, 1.47369, 12.5398, 16.6173, 3.08014, 16.9003, 29.4401, 4.36055, 1.90976, 0.95488
px, py, pz, p1, m1, e, num, den, ln, y: 16.0999, 0.84861, 6.83274, 17.5104, 3.11825, 17.7859, 24.6186, 10.9531, 0.809877, 0.404938
px, py, pz, p1, m1, e, num, den, ln, y: 16.2115, -2.2888, -25.7569, 30.5199, 3.06162, 30.6731, 4.91626, 56.43, -2.44045, -1.22023
px, py, pz, p1, m1, e, num, den, ln, y: -4.41898, 10.3208, -10.7176, 15.5214, 3.10148, 15.8282, 5.1106, 26.5459, -1.64756, -0.823779
px, py, pz, p1, m1, e, num, den, ln, y: 29.0971, -6.57323, 145.027, 148.063, 3.21313, 148.098, 293.125, 3.07095, 4.55861, 2.27931
px, py, pz, p1, m1, e, num, den, ln, y: 1.84841, -10.9559, 0.562141, 11.1249, 3.08084, 11.5436, 12.1058, 10.9815, 0.0974714, 0.0487357
